"id","season","city","date","team1","team2","toss_winner","toss_decision","result","dl_applied","winner","win_by_runs","win_by_wickets","player_of_match","venue"
1,2017,"Hyderabad","2017-04-05","Sunrisers Hyderabad","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Sunrisers Hyderabad",35,0,"Yuvraj Singh","Rajiv Gandhi International Stadium, Uppal"
2,2017,"Pune","2017-04-06","Mumbai Indians","Rising Pune Supergiant","Rising Pune Supergiant","field","normal",0,"Rising Pune Supergiant",0,7,"SPD Smith","Maharashtra Cricket Association Stadium"
3,2017,"Rajkot","2017-04-07","Gujarat Lions","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,10,"CA Lynn","Saurashtra Cricket Association Stadium"
4,2017,"Indore","2017-04-08","Rising Pune Supergiant","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,6,"GJ Maxwell","Holkar Cricket Stadium"
5,2017,"Bangalore","2017-04-08","Royal Challengers Bangalore","Delhi Daredevils","Royal Challengers Bangalore","bat","normal",0,"Royal Challengers Bangalore",15,0,"KM Jadhav","M Chinnaswamy Stadium"
6,2017,"Hyderabad","2017-04-09","Gujarat Lions","Sunrisers Hyderabad","Sunrisers Hyderabad","field","normal",0,"Sunrisers Hyderabad",0,9,"Rashid Khan","Rajiv Gandhi International Stadium, Uppal"
7,2017,"Mumbai","2017-04-09","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,4,"N Rana","Wankhede Stadium"
8,2017,"Indore","2017-04-10","Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore","bat","normal",0,"Kings XI Punjab",0,8,"AR Patel","Holkar Cricket Stadium"
9,2017,"Pune","2017-04-11","Delhi Daredevils","Rising Pune Supergiant","Rising Pune Supergiant","field","normal",0,"Delhi Daredevils",97,0,"SV Samson","Maharashtra Cricket Association Stadium"
10,2017,"Mumbai","2017-04-12","Sunrisers Hyderabad","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,4,"JJ Bumrah","Wankhede Stadium"
11,2017,"Kolkata","2017-04-13","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,8,"SP Narine","Eden Gardens"
12,2017,"Bangalore","2017-04-14","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,4,"KA Pollard","M Chinnaswamy Stadium"
13,2017,"Rajkot","2017-04-14","Rising Pune Supergiant","Gujarat Lions","Gujarat Lions","field","normal",0,"Gujarat Lions",0,7,"AJ Tye","Saurashtra Cricket Association Stadium"
14,2017,"Kolkata","2017-04-15","Kolkata Knight Riders","Sunrisers Hyderabad","Sunrisers Hyderabad","field","normal",0,"Kolkata Knight Riders",17,0,"RV Uthappa","Eden Gardens"
15,2017,"Delhi","2017-04-15","Delhi Daredevils","Kings XI Punjab","Delhi Daredevils","bat","normal",0,"Delhi Daredevils",51,0,"CJ Anderson","Feroz Shah Kotla"
16,2017,"Mumbai","2017-04-16","Gujarat Lions","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,6,"N Rana","Wankhede Stadium"
17,2017,"Bangalore","2017-04-16","Rising Pune Supergiant","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Rising Pune Supergiant",27,0,"BA Stokes","M Chinnaswamy Stadium"
18,2017,"Delhi","2017-04-17","Delhi Daredevils","Kolkata Knight Riders","Delhi Daredevils","bat","normal",0,"Kolkata Knight Riders",0,4,"NM Coulter-Nile","Feroz Shah Kotla"
19,2017,"Hyderabad","2017-04-17","Sunrisers Hyderabad","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Sunrisers Hyderabad",5,0,"B Kumar","Rajiv Gandhi International Stadium, Uppal"
